Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10863","","","None","80.14.220.52","tcp","10000","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Country: FR
Organization: Orange
Common Name: Livebox V2 Step4 RC4

Issuer Name: 

Country: FR
Organization: Orange
Organization Unit: 0002 380129866
Common Name: Orange Devices Auth Web CA

Serial Number: 21 04 94 89 AA 7D B0 AC 7B 7E 17 6B 24 8A FF 53 D3 92 61 C1 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Nov 20 15:59:45 2014 GMT
Not Valid After: Nov 20 15:59:45 2019 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 C9 40 2E 39 BB 72 B9 94 9A 69 FC 0B E6 D7 B0 0F 74 1E 84 
            F1 4D D2 B6 23 DF 52 CD 78 A0 CF 81 92 BE C3 36 B9 A7 DE E8 
            01 20 FC E9 29 97 61 14 39 1D F0 DD F2 38 84 7E BA 8F 7C 16 
            22 17 E2 17 53 A7 2D 2A 7E 78 3D 03 4A A6 41 E8 6C F4 0E 6C 
            5C 94 36 84 BF 3E CF 46 58 35 DB 70 21 05 1F 0F BF 39 EB C7 
            39 A9 79 99 23 2B 18 8F 43 BB E3 11 02 72 07 8F 41 23 3E 2F 
            D3 9E 33 B0 D1 0D 90 CD C7 83 3B 06 76 ED 86 3A C6 70 13 4C 
            E4 A6 50 88 4C 25 AE 85 F3 14 99 5F 44 07 7B 96 7F 22 E8 04 
            1A 43 D4 B0 68 A3 36 13 2A B4 BF 15 BD CA 6B CD 27 03 53 A5 
            7F 95 79 26 C5 F8 EF 9C 39 92 79 31 9A 09 EF 32 0F 4A CA 90 
            AD 93 AE 98 A3 99 24 62 32 CE 9D AC 70 53 73 36 16 64 DF C8 
            7B 57 DE 8A 0E 35 1C 64 09 7E FA BE 4E 8B 08 B2 37 4E D5 B1 
            A2 02 5F C8 43 F3 90 DA C0 7E A8 69 69 E1 57 5E 69 
Exponent: 01 00 01 

Signature Length: 512 bytes / 4096 bits
Signature: 00 18 B6 DA 2A CC 61 27 79 D8 E5 19 80 4D 22 26 FF 62 09 90 
           65 2B 33 59 B1 C4 A1 FF 01 DD C7 1E A7 57 39 26 86 0E 4B DD 
           68 82 C6 52 11 41 9A 7B 01 4D 15 6B E2 28 B7 D6 99 D9 FE 46 
           DA E7 EF 2D AA A0 EB 0B 60 59 3A 50 7D 3E 72 8D 40 FE E0 5E 
           4A 73 93 37 F3 3A 28 BE 48 11 76 79 BA 40 51 9F 7C 61 05 D5 
           BE 40 CD 2A 53 4B 45 6B D3 CB 22 A1 30 51 C3 38 57 82 83 C4 
           C5 33 1D DA 50 94 C8 59 05 64 63 4F F3 87 EE 8C 7F 59 6D E3 
           C8 1B 37 41 DB 18 9A A6 D5 4E 4B 0C 64 8D 61 F2 62 B5 AB EE 
           90 D0 99 8E 20 BA B3 9A 32 A6 35 ED 0A 94 E4 EB DE 53 B9 E6 
           29 8C D6 9D 5F 2B DF BB 01 80 72 8F A7 08 96 AE AF DC 7C 88 
           F4 FF 9E E8 CC 00 AB 5A 23 2D D6 78 5F 7F 3F 21 B4 2D 6E 39 
           D2 3D 4C 61 B0 AE FC 99 A5 88 41 52 DE 4D 9E AD 11 72 11 85 
           CE 7C 41 14 30 F9 26 71 14 BA CE 87 A4 9D BF 99 FE 9C 70 0B 
           BE F3 8A 41 9D 88 EC EA C6 C6 4E 84 DA D6 46 5D 6D 20 9E 8B 
           51 D3 B5 26 31 91 04 97 A6 F9 CE 4C 70 DA 85 B3 02 EA 91 11 
           CB 27 1F F6 C5 0C 0C 1C DB FF 7B 65 F6 EB 63 01 1C B6 09 28 
           4F E3 AB 60 2F AE 93 47 40 F4 2B 54 32 7B 7A 26 87 AE D8 06 
           0A CB B9 41 C8 E2 D8 49 F3 E9 DC CC 8C 6F 56 28 35 30 47 32 
           5C 8C 26 89 08 65 08 37 D2 EA 3B 5F 74 40 D5 74 A0 AC 79 91 
           53 56 F4 72 7C FC AB B6 5F 87 1E 7C 6B 72 C5 EE 35 8F 5E 3A 
           CB B4 5C 8F 77 B6 FE 17 50 38 A8 CC 20 07 8E D5 CA C1 62 61 
           06 AC 4F 24 71 CF 04 E4 A6 1E F3 B2 26 3A 8B E4 59 33 D2 F0 
           1A 54 FC 73 9C 72 6E 1B DE 15 94 C3 1D 04 F0 7C 31 B6 A3 93 
           3C CB 33 9A AC 41 8A 16 4F 94 F6 D3 8D D5 B9 E0 E1 AD EF E6 
           6C FF A3 0A 9C F4 7B 6D B0 60 F2 24 3E AE D0 B7 4C 76 13 5E 
           37 C8 87 93 42 DB 53 E7 F1 B0 37 F7 09 

Extension: Basic Constraints (2.5.29.19)
Critical: 0


Extension: Key Usage (2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Key Encipherment


Extension: Extended Key Usage (2.5.29.37)
Critical: 1
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)


Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: 6C AF D2 D0 9E B2 E7 5F 43 B5 2E D6 A9 5E 4E A1 AF 49 1B AD 


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: 0E E5 1E 03 FD 03 BE 7E 80 45 E7 8B D0 2A A6 6E 85 E1 7F 80 


Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: livebox


Extension: Policies (2.5.29.32)
Critical: 0
Policy ID #1: 1.2.250.1.16.12.7.7.1


Fingerprints : 

SHA-256 Fingerprint: F3 AA 5E AB AE 12 D1 EA 0E CF F6 50 8F 0C 83 93 66 0C 9D 74 
                     E1 6B D5 70 E3 01 29 38 CD D3 32 48 
SHA-1 Fingerprint: C7 7D A9 95 D0 DD 85 81 63 0B 5D C0 EE 31 D9 DC DE BE 30 8B 
MD5 Fingerprint: CB 67 CB DE EC 74 90 C7 9A 7E 5C BA 25 12 D5 30 

"
"11219","","","None","80.14.220.52","tcp","80","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 80/tcp was found to be open"
"11219","","","None","80.14.220.52","tcp","10000","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 10000/tcp was found to be open"
"11936","","","None","80.14.220.52","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : KYOCERA Printer
Linux Kernel 2.6
Confidence level : 54
Method : SinFP

 
The remote host is running one of these operating systems : 
KYOCERA Printer
Linux Kernel 2.6"
"12053","","","None","80.14.220.52","tcp","0","Host Fully Qualified Domain Name (FQDN) Resolution","It was possible to resolve the name of the remote host.","Nessus was able to resolve the FQDN of the remote host.","n/a","","
80.14.220.52 resolves as LNeuilly-656-1-208-52.w80-14.abo.wanadoo.fr.
"
"19506","","","None","80.14.220.52","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - Whether credentialed or third-party patch management
    checks are possible.
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 6.8.1
Plugin feed version : 201608181730
Scanner edition used : Nessus
Scan type : Normal
Scan policy used : Device Discovery Test
Scanner IP : 172.31.33.81
Port scanner(s) : nessus_syn_scanner 
Port range : default
Thorough tests : no
Experimental tests : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
CGI scanning : disabled
Web application tests : disabled
Max hosts : 100
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing: Yes
Scan Start Date : 2016/8/19 1:44 
Scan duration : 3264 sec
"
"20007","","5.0","Medium","80.14.220.52","tcp","10000","SSL Version 2 and 3 Protocol Detection","The remote service encrypts traffic using a protocol with known
weaknesses.","The remote service accepts connections encrypted using SSL 2.0 and/or
SSL 3.0. These versions of SSL are affected by several cryptographic
flaws. An attacker can exploit these flaws to conduct
man-in-the-middle attacks or to decrypt communications between the
affected service and clients.

NIST has determined that SSL 3.0 is no longer acceptable for secure
communications. As of the date of enforcement found in PCI DSS v3.1,
any version of SSL will not meet the PCI SSC'S definition of 'strong
cryptography'.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.1 (with approved cipher suites) or higher instead.","http://www.schneier.com/paper-ssl.pdf
http://support.microsoft.com/kb/187498
http://www.nessus.org/u?247c4540
https://www.openssl.org/~bodo/ssl-poodle.pdf
http://www.nessus.org/u?5d15ba70
https://www.imperialviolet.org/2014/10/14/poodle.html
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00","
- SSLv3 is enabled and the server supports at least one cipher.
"
"21643","","","None","80.14.220.52","tcp","10000","SSL Cipher Suites Supported","The remote service encrypts communications using SSL.","This plugin detects which SSL ciphers are supported by the remote
service for encrypting communications.","n/a","https://www.openssl.org/docs/manmaster/apps/ciphers.html
http://www.nessus.org/u?7d537016","
Here is the list of SSL ciphers supported by the remote server :
Each group is reported per SSL Version.

SSL Version : TLSv1
  High Strength Ciphers (>= 112-bit key)
      DES-CBC3-SHA                 Kx=RSA         Au=RSA      Enc=3DES-CBC(168)        Mac=SHA1   
      AES128-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
      AES256-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
      IDEA-CBC-SHA                 Kx=RSA         Au=RSA      Enc=IDEA-CBC(128)        Mac=SHA1   
      RC4-SHA                      Kx=RSA         Au=RSA      Enc=RC4(128)             Mac=SHA1   


SSL Version : SSLv3
  High Strength Ciphers (>= 112-bit key)
      DES-CBC3-SHA                 Kx=RSA         Au=RSA      Enc=3DES-CBC(168)        Mac=SHA1   
      AES128-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
      AES256-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
      IDEA-CBC-SHA                 Kx=RSA         Au=RSA      Enc=IDEA-CBC(128)        Mac=SHA1   
      RC4-SHA                      Kx=RSA         Au=RSA      Enc=RC4(128)             Mac=SHA1   

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
"
"22964","","","None","80.14.220.52","tcp","10000","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","An SSLv3 server answered on this port.
"
"22964","","","None","80.14.220.52","tcp","10000","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","A web server is running on this port through SSLv3."
